Helmet Status,LP Status,LP Number,No of passengers
Not Wearing,Not Found,Not Found,2
Not Wearing,Not Found,Not Found,1
Not Wearing,Found,rj14vb3396,2
Wearing,Not Found,Not Found,2
Wearing,Not Found,Not Found,1
Not Wearing,Found,None,4
Not Wearing,Found,None,1
Not Found,Found,None,0
Wearing,Found,ap28r6104,2
Wearing,Found,ap28r8104,2
Not Wearing,Found,None,3
Not Wearing,Found,None,2
Not Found,Not Found,Not Found,0
Not Wearing,Found,tn09bt9121,1
Wearing,Found,tn02av6447,1
Wearing,Found,None,2
Wearing,Found,None,1
Not Wearing,Found,ap2cb9736,1
Wearing,Found,ap39c3482,1
Wearing,Found,ap35af7818,2
Not Wearing,Found,ap87cb9726,1
Wearing,Found,ap35ae7818,2
